id,type,name,alias,net worth,occupation,sex,age,price
ph,1,Paris Hilton,NA,300,3,f,1981,287.000
gp,1,Gwyneth Paltrow,NA,125,3,f,1972,228.000
jb,1,Justin Bieber,NA,275,3,m,1994,1.300.000
oo,1,Ozzy Osbourne,NA,220,3,m,1948,359.000
df,1,Dillon Francis,NA,9,3,m,1987,340.000
ck,1,Colin Kaepernick,NA,20,3,m,1987,317.000
wk,1,Wiz Khalifa,NA,90,3,m,1987,NA
rr,1,Ryder Ripps,NA,NA,7,m,NA,NA
dp,1,Deeple,NA,NA,7,m,NA,NA
pn,1,Philion,NA,NA,3,m,NA,NA
usb,2,US-Börsenaufsicht ,NA,NA,5,NA,NA,NA
mp,2,Moonpay,NA,NA,5,NA,NA,NA
dd,1,Damon Dash,NA,100,4,m,1971,NA
mtb,1,Montana Black ,NA,12,3,m,1988,280000
mh,1,Mike Hager,NA,NA,3,m,1974,1900
mv,1,Marco Verch,NA,NA,3,m,NA,NA
bm,2,Bitmex,NA,NA,5,NA,NA,NA
by,1,Ben Yang,Baller,100,3,m,1975,NA
acm,2,Artist Capital Management,NA,NA,5,NA,NA,NA
hl,2,Horizon Labs,NA,NA,5,NA,NA,NA
hd,2,Hashed,NA,NA,5,NA,NA,NA
am,2,Animoca Brands,NA,NA,5,NA,NA,NA
lv,2,Lightspeed Ventures,NA,NA,5,NA,NA,NA
ftxv,2,FTX Ventures,NA,NA,5,NA,NA,NA
ass,1,All Seeing Seneca,NA,NA,7,f,NA,NA
di,1,Diplo,NA,70,3,m,1978,NA
kh,1,Kevin Hart,NA,450,3,m,1979,NA
sb,2,Sotheby's,NA,NA,5,NA,NA,NA
ad,2,Adidas,NA,NA,5,NA,NA,NA
sq,1,Sonny Q,NA,NA,3,m,NA,NA
jaw,1,Jeremiah Allen Welch,NA,NA,3,m,NA,NA
adl,2,Anti-Defamation League,NA,NA,5,NA,NA,NA
fg,1,Freddie Gibbs,NA,5,3,m,1982,NA
fb,1,Fredrick Brennan,NA,NA,8,m,1994,NA
jc,1,Jeremy Cahen,NA,NA,7,m,NA,NA
ar,1,Adonis Real,NA,NA,6,m,1976,NA
at,1,Adam Titcher,NA,NA,6,m,1982,NA
ds,1,Dean Steinbeck,NA,NA,6,m,1975,NA
mw,1,Mike Winkelmann,NA,NA,7,m,1981,NA
ehd,2,Electric Hot Dog Inc.,NA,NA,5,NA,NA,NA
utl,2,Universal Television LLC,NA,NA,5,NA,1943,NA
tw,1,The Weeknd,NA,300,3,m,1990,NA
isw,1,Ivan Soto-Wright,NA,NA,6,m,1971,NA
sv,2,Sound Ventures,NA,NA,5,NA,2015,NA
ut,1,U2,NA,700,3,NA,1976,NA
vm,2,Variety Magazine,NA,NA,9,NA,1905,NA
scb,1,Scooter Braun,NA,500,4,m,1981,NA
pp,2,Pearpop,NA,300,5,NA,2020,NA
caa,2,Creative Arts Agency,NA,NA,5,NA,1975,NA
ak,1,Ashton Kutcher,NA,200,3,m,1978,NA
rsm,2,Rolling Stone Magazine,NA,700,9,NA,1967,NA
aur,1,Austin Rosen,NA,NA,2,m,NA,NA
mvm,2,Maverick Management,NA,NA,3,NA,2014,NA
sbf,1,Sam Bankman-Fried,NA,NA,6,m,1992,NA
twp,1,Thomas Weasley Pentz,NA,70,3,NA,1978,NA
rhcp,1,Red Hot Chili Peppers,NA,25,3,NA,1983,NA
